rank,from,to,pair,tier,evidence,monthly_search_volume,region,category_from,category_to,conversion_kind,source_url
110,numbers,pdf,"numbers to pdf",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
114,ppt,pptx,"ppt to pptx",TIER-2,enumerated (heuristic order),,,presentation,presentation,same-category,https://cloudconvert.com/presentation-converter
127,xlsm,pdf,"xlsm to pdf",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
129,ai,docx,"ai to docx",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
130,ai,jpg,"ai to jpg",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
131,ai,png,"ai to png",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
136,csv,jpg,"csv to jpg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
137,csv,png,"csv to png",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
138,doc,epub,"doc to epub",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
139,doc,jpg,"doc to jpg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
140,doc,png,"doc to png",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
141,doc,pptx,"doc to pptx",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
143,docx,jpg,"docx to jpg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
144,docx,png,"docx to png",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
147,epub,jpg,"epub to jpg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
148,epub,png,"epub to png",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
155,html,jpg,"html to jpg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
156,html,png,"html to png",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
167,mobi,jpg,"mobi to jpg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
168,mobi,png,"mobi to png",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
178,ppt,docx,"ppt to docx",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
179,ppt,jpg,"ppt to jpg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
180,ppt,png,"ppt to png",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
182,pptx,jpg,"pptx to jpg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
183,pptx,png,"pptx to png",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
187,txt,jpg,"txt to jpg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
188,txt,png,"txt to png",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
197,xls,jpg,"xls to jpg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
198,xls,png,"xls to png",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
200,xlsx,jpg,"xlsx to jpg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
201,xlsx,png,"xlsx to png",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
202,abw,pdf,"abw to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
203,djvu,pdf,"djvu to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
204,docm,pdf,"docm to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
205,dot,pdf,"dot to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
206,dotx,pdf,"dotx to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
207,hwp,pdf,"hwp to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
208,hwpx,pdf,"hwpx to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
209,lwp,pdf,"lwp to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
212,pdf,pages,"pdf to pages",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
214,rst,pdf,"rst to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
215,sdw,pdf,"sdw to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
216,tex,pdf,"tex to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
217,wpd,pdf,"wpd to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
218,wps,pdf,"wps to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
219,zabw,pdf,"zabw to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
227,doc,html,"doc to html",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
228,doc,txt,"doc to txt",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
229,docx,doc,"docx to doc",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
232,epub,mobi,"epub to mobi",TIER-2,enumerated (heuristic order),,,ebook,ebook,same-category,https://cloudconvert.com/ebook-converter
244,html,doc,"html to doc",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
277,pptx,ppt,"pptx to ppt",TIER-2,enumerated (heuristic order),,,presentation,presentation,same-category,https://cloudconvert.com/presentation-converter
282,txt,doc,"txt to doc",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
306,azw3,epub,"azw3 to epub",TIER-2,enumerated (heuristic order),,,ebook,ebook,same-category,https://cloudconvert.com/ebook-converter
307,azw4,pdf,"azw4 to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
310,cbc,pdf,"cbc to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
311,cbr,epub,"cbr to epub",TIER-2,enumerated (heuristic order),,,ebook,ebook,same-category,https://cloudconvert.com/ebook-converter
312,cbz,epub,"cbz to epub",TIER-2,enumerated (heuristic order),,,ebook,ebook,same-category,https://cloudconvert.com/ebook-converter
313,cgm,pdf,"cgm to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
314,chm,pdf,"chm to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
322,dps,pdf,"dps to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
323,emf,pdf,"emf to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
327,et,pdf,"et to pdf",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
332,htmlz,pdf,"htmlz to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
338,key,pptx,"key to pptx",TIER-2,enumerated (heuristic order),,,presentation,presentation,same-category,https://cloudconvert.com/presentation-converter
339,lit,pdf,"lit to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
340,lrf,pdf,"lrf to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
349,numbers,xlsx,"numbers to xlsx",TIER-2,enumerated (heuristic order),,,spreadsheet,spreadsheet,same-category,https://cloudconvert.com/spreadsheet-converter
355,oeb,pdf,"oeb to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
360,pages,docx,"pages to docx",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
361,pdb,pdf,"pdb to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
362,pdf,arw,"pdf to arw",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
363,pdf,avif,"pdf to avif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
364,pdf,azw,"pdf to azw",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
365,pdf,azw3,"pdf to azw3",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
366,pdf,bmp,"pdf to bmp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
367,pdf,cbr,"pdf to cbr",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
368,pdf,cbz,"pdf to cbz",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
369,pdf,cr2,"pdf to cr2",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
370,pdf,dng,"pdf to dng",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
371,pdf,eps,"pdf to eps",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
372,pdf,fb2,"pdf to fb2",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
373,pdf,heif,"pdf to heif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
374,pdf,ico,"pdf to ico",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
375,pdf,jfif,"pdf to jfif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
376,pdf,key,"pdf to key",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
377,pdf,nef,"pdf to nef",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
378,pdf,odp,"pdf to odp",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
379,pdf,psd,"pdf to psd",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
380,pdf,raw,"pdf to raw",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
381,pdf,tif,"pdf to tif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
382,pdf,tiff,"pdf to tiff",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
384,pml,pdf,"pml to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
385,pot,pdf,"pot to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
386,potx,pdf,"potx to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
388,pps,pdf,"pps to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
389,ppsx,pdf,"ppsx to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
390,pptm,pdf,"pptm to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
400,rb,pdf,"rb to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
403,sda,pdf,"sda to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
404,sdc,pdf,"sdc to pdf",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
405,sk,pdf,"sk to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
406,sk1,pdf,"sk1 to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
407,snb,pdf,"snb to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
408,svgz,pdf,"svgz to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
409,tcr,pdf,"tcr to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
416,txtz,pdf,"txtz to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
417,vsd,pdf,"vsd to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
419,wmf,pdf,"wmf to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
423,xlsm,xlsx,"xlsm to xlsx",TIER-2,enumerated (heuristic order),,,spreadsheet,spreadsheet,same-category,https://cloudconvert.com/spreadsheet-converter
429,ai,doc,"ai to doc",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
430,ai,gif,"ai to gif",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
431,ai,heic,"ai to heic",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
432,ai,html,"ai to html",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
433,ai,jpeg,"ai to jpeg",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
434,ai,svg,"ai to svg",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
435,ai,txt,"ai to txt",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
436,ai,webp,"ai to webp",TIER-2,enumerated (heuristic order),,,vector,image,cross-category,https://cloudconvert.com/vector-converter
446,csv,doc,"csv to doc",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
447,csv,gif,"csv to gif",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
448,csv,heic,"csv to heic",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
450,csv,jpeg,"csv to jpeg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
451,csv,svg,"csv to svg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
452,csv,txt,"csv to txt",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
453,csv,webp,"csv to webp",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
454,doc,gif,"doc to gif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
455,doc,heic,"doc to heic",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
456,doc,jpeg,"doc to jpeg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
457,doc,mobi,"doc to mobi",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
458,doc,ppt,"doc to ppt",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
459,doc,svg,"doc to svg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
460,doc,webp,"doc to webp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
461,docx,gif,"docx to gif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
462,docx,heic,"docx to heic",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
463,docx,jpeg,"docx to jpeg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
464,docx,mobi,"docx to mobi",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
465,docx,ppt,"docx to ppt",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
466,docx,svg,"docx to svg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
467,docx,webp,"docx to webp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
468,epub,doc,"epub to doc",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
469,epub,gif,"epub to gif",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
470,epub,heic,"epub to heic",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
472,epub,jpeg,"epub to jpeg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
473,epub,svg,"epub to svg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
475,epub,webp,"epub to webp",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
490,html,gif,"html to gif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
491,html,heic,"html to heic",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
492,html,jpeg,"html to jpeg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
493,html,mobi,"html to mobi",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
494,html,ppt,"html to ppt",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
495,html,svg,"html to svg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
496,html,webp,"html to webp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
520,mobi,doc,"mobi to doc",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
521,mobi,gif,"mobi to gif",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
522,mobi,heic,"mobi to heic",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
524,mobi,jpeg,"mobi to jpeg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
525,mobi,svg,"mobi to svg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
527,mobi,webp,"mobi to webp",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
555,ppt,doc,"ppt to doc",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
556,ppt,gif,"ppt to gif",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
557,ppt,heic,"ppt to heic",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
558,ppt,html,"ppt to html",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
559,ppt,jpeg,"ppt to jpeg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
560,ppt,svg,"ppt to svg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
561,ppt,txt,"ppt to txt",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
562,ppt,webp,"ppt to webp",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
563,pptx,doc,"pptx to doc",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
564,pptx,gif,"pptx to gif",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
565,pptx,heic,"pptx to heic",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
567,pptx,jpeg,"pptx to jpeg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
568,pptx,svg,"pptx to svg",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
570,pptx,webp,"pptx to webp",TIER-2,enumerated (heuristic order),,,presentation,image,cross-category,https://cloudconvert.com/presentation-converter
576,txt,gif,"txt to gif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
577,txt,heic,"txt to heic",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
578,txt,jpeg,"txt to jpeg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
579,txt,mobi,"txt to mobi",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
580,txt,ppt,"txt to ppt",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
581,txt,svg,"txt to svg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
582,txt,webp,"txt to webp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
601,xls,doc,"xls to doc",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
602,xls,gif,"xls to gif",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
603,xls,heic,"xls to heic",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
605,xls,jpeg,"xls to jpeg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
606,xls,svg,"xls to svg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
607,xls,txt,"xls to txt",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
608,xls,webp,"xls to webp",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
609,xlsx,doc,"xlsx to doc",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
610,xlsx,gif,"xlsx to gif",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
611,xlsx,heic,"xlsx to heic",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
613,xlsx,jpeg,"xlsx to jpeg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
614,xlsx,svg,"xlsx to svg",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
615,xlsx,txt,"xlsx to txt",TIER-2,enumerated (heuristic order),,,spreadsheet,document,cross-category,https://cloudconvert.com/spreadsheet-converter
616,xlsx,webp,"xlsx to webp",TIER-2,enumerated (heuristic order),,,spreadsheet,image,cross-category,https://cloudconvert.com/spreadsheet-converter
627,azw,jpg,"azw to jpg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
628,azw,png,"azw to png",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
629,azw3,docx,"azw3 to docx",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
630,azw3,jpg,"azw3 to jpg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
631,azw3,png,"azw3 to png",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
634,cbr,docx,"cbr to docx",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
635,cbr,jpg,"cbr to jpg",TIER-2,enumerated (heuristic order),,,ebook,image,cross-category,https://cloudconvert.com/ebook-converter
